Libéllé Département;Nom Famille;Code Produit;Code Coloris;Nom Produit;E-COMMERCE AXE 1;E-COMMERCE AXE 2;E-COMMERCE AXE 3;E-COMMERCE AXE 4;Marque;Theme;Libellé Court
FEMME;T SHIRT ML;77120025;62;CLOUS/EPAULE;;;;;AFFINITES;PONDICHERY;TEE SHIRT UNI CLOUS
FEMME;T SHIRT MC                    ;77130001;67;MACRA/BTS;;;;;AFFINITES;NAVY POP;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC                    ;77130033;01;CHEMISE;;;;;AFFINITES;MONSOON;TEE SHIRT/CHEMISE UNI
FEMME;T SHIRT MC                    ;77130042;34;DEV/PAPILLON;;;;;AFFINITES;MONSOON;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130046;15;LIMA;;;;;AFFINITES;JAIPUR;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130054;41;ALL/HINDI;;;;;AFFINITES;PONDICHERY;TEE SHIRT IMPRIME
FEMME;T SHIRT MC                    ;77130059;65;DEV/PAQUERET;;;;;AFFINITES;VINTAGE;TEE SHIRT FANTAISIE
FEMME;CHEMISIER ML                  ;77210011;10;* SACHA;;;;;AFFINITES;PASHMINA;TUNIQUE LONGUE IMPRIMEE
FEMME;CHEMISIER ML                  ;77210013;32;TORICAF;;;;;AFFINITES;FOLK ARMY;CHEMISE CARREAUX STRETCH
FEMME;CHEMISIER MC                  ;77230002;45;CHAMBROD;;;;;AFFINITES;PIONNIER;TUNIQUE CHAMBRAY BRODE
FEMME;CHEMISIER MC                  ;77230010;03;ARMY BRODE;;;;;AFFINITES;FOLK ARMY;TUNIQUE UNIE BRODEE
FEMME;CHEMISIER MC                  ;77230012;01;GIPSY;Longueur normale;Manches courtes;Col rond;Fermeture zip bord à bord;AFFINITES;PONDICHERY;TUNIQUE IMPRIMEE SEQUINS
FEMME;CHEMISIER MC                  ;77230070;15;TRESOR;;;;;AFFINITES;JAIPUR;TUNIQUE UNIE BRODEE
FEMME;JUPE ETE                      ;77330004;01;COTONFRONCE;;;;;AFFINITES;MOJITO;JUPE COTON DETENTE
FEMME;JUPE ETE                      ;77330008;40;LOOPTRESSE;;;;;AFFINITES;ROMANTIC DENIM;JUPE DROITE JEAN
FEMME;PANTALON ETE                  ;77430014;12;PC ALADIN;;;;;AFFINITES;NAVY POP;JEAN GRIS DETENTE
FEMME;PANTALON ETE                  ;77430031;40;PC EMBOSSE;;;;;AFFINITES;ROMANTIC DENIM;PANTACOURT JEAN BLEU DETENTE
FEMME;PANTALON ETE                  ;77430054;41;BIANCAZIP;;;;;AFFINITES;PONDICHERY;PANTACOURT DETENTE
FEMME;CEINTURE                      ;77510006;10;EL/ROND;;;;;AFFINITES;;CEINTURE ELASTIQUEE
FEMME;CEINTURE                      ;77519005;01;PICOTI;;;;;AT FEMME;;CEINTURE AVEC CHAINETTE
FEMME;FOULARD ECHARPE               ;77530013;01;MAILLE BRODE;;;;;AFFINITES;;FOULARD FANTAISIE
FEMME;FOULARD ECHARPE               ;77530021;90;RAYEMULTI;;;;;AFFINITES;;FOULARD TISSE RAYE 
FEMME;FOULARD ECHARPE               ;77530040;03;LIN NOEUD;;;;;AFFINITES;;ETOLE EN LIN
FEMME;ROBE ETE                      ;76030003;03;ROMANTIC;;;;;AFFINITES;ROMANTIC DENIM;ROBE FANTAISIE
FEMME;PULL FANTAISIE                ;77039001;32;GEO-T;;;;;AT FEMME;FOLK ARMY;PULL FANTAISIE
FEMME;CARDIGAN                      ;77050018;42;CHINEKIMO;;;;;AFFINITES;NAVY POP;GILET MANCHES KIMONO
FEMME;T SHIRT MC                    ;77130013;13;AZTEQUE;;;;;AFFINITES;MONSOON;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC                    ;77130030;13;BECOME;;;;;AFFINITES;NAVY POP;TEE SHIRT FANTAISIE
FEMME;CHEMISIER ML                  ;77210014;10;* JAKUNIE;;;;;AFFINITES;PASHMINA;TUNIQUE UNIE AVEC JACQUARD
FEMME;CHEMISIER ML                  ;77210016;10;TUNIPASH;;;;;AFFINITES;PASHMINA;TUNIQUE LONGUE IMPRIMEE
FEMME;JUPE VILLE                    ;77319001;10;* JSIMILICUIR;;;;;AT FEMME;PASHMINA;JUPE SIMILICUIR
FEMME;JUPE VILLE                    ;77319005;41;MINIFROU;;;;;AT FEMME;PONDICHERY;JUPE EVASEE VILLE
FEMME;PANTALON ETE                  ;77430015;62;TIPEE PEACH;;;;;AFFINITES;PONDICHERY;PANTALON DETENTE AVEC CEINTURE
